"","ORIGEN","AÑO_N","MES_N","AÑO","TRIMESTRES","TOTAL_KILOS_BRUTOS","TOTAL_KILOS_NETOS","I_DOLARES","I_PESOS"
"1","05",2005,1,5,1,240979868.701169,224063053.047042,223371032.260554,527648189351.786
"2","08",2005,1,5,1,39412677.5543543,38286823.2133078,39374974.1060062,93131363089.4879
"3","11",2005,1,5,1,22760185.8597509,21357628.0651031,88519760.1620196,209136192739.663
"4","13",2005,1,5,1,166272698.560869,164688496.726346,77799260.127625,183492947387.391
"5","15",2005,1,5,1,14712230.9701479,14688944.0599928,7647077.86068726,18118749080.0938
"6","17",2005,1,5,1,19534588.6883176,18769958.7416242,39598763.302906,93559463823.0128
"7","19",2005,1,5,1,20762959.601644,20620190.1499763,11710832.7768841,27661477725.2861
"8","20",2005,1,5,1,371117962,371110230,21723313.7421875,51599152784
"9","23",2005,1,5,1,16339290.0699425,16325764.0999999,78975072.0628967,186985284874.531
"10","25",2005,1,5,1,124223138.341614,120731638.845738,115640597.959904,273366848362.294
"11","41",2005,1,5,1,6446859.67068481,6400196.94970703,13616547.9165497,32170114855.9531
"12","44",2005,1,5,1,2330539525.99,2330539407,112158569.749146,264821451867.375
"13","47",2005,1,5,1,59074223.5566406,54845410.5966797,17943926.4307861,42231088012.7627
"14","50",2005,1,5,1,11011.0000762939,6766.10000610352,64719.9403076172,153061517.625
"15","52",2005,1,5,1,4653385.00001526,4635349.72900391,3529605.890625,8370868467.125
"16","54",2005,1,5,1,36961598.9883804,36817006.107964,12634678.7390137,29878794502.7251
"17","63",2005,1,5,1,4564879.35848641,4519547.16417742,11615068.4331207,27419986901.2266
"18","66",2005,1,5,1,17411074.3772914,17137686.4341692,33188167.4131007,78301686921.2283
"19","68",2005,1,5,1,7309514.38606332,7172793.33311644,29094055.5263786,68813476744.4312
"20","70",2005,1,5,1,8828233,8791869.625,1734701.25,4083599360
"21","73",2005,1,5,1,5864210.77527285,5777228.05689609,13625239.0815635,32121114221.9448
"22","76",2005,1,5,1,132470823.923717,128974189.240426,110722978.151987,261289175804.726
"23","81",2005,1,5,1,390593.279221773,389157.069216967,671935.532148361,1587544178.85938
"24","85",2005,1,5,1,27688.5599542856,26261.2499976158,172128.41989994,405129012.4375
"25","86",2005,1,5,1,13.6899995803833,13.2299995422363,75.9800033569336,180144.78125
"26","88",2005,1,5,1,21247.8404534832,21121.840468742,715473.310546875,1703237005.15625
"27","91",2005,1,5,1,25343.0299797058,24773.7000732422,51956.5796508789,122756636.875
"28","94",2005,1,5,1,4903.96019744873,4360.10015106201,20660.1802902222,48949304.875
"29","99",2005,1,5,1,2999,2856,7819,18384268
